instrument,symbol,timestamp,open,high,low,close,volume,source,interval,adjustment,tick_paise
DEMO-LOSS,DEMO-LOSS,2026-09-14T09:30:00+05:30,99.95,100.50,99.50,100.00,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T09:30:00+05:30,99.95,100.50,99.50,100.00,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T09:30:00+05:30,99.95,100.50,99.50,100.00,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T09:45:00+05:30,100.00,100.55,99.55,100.05,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T09:45:00+05:30,100.00,100.55,99.55,100.05,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T09:45:00+05:30,100.00,100.55,99.55,100.05,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T10:00:00+05:30,100.05,100.60,99.60,100.10,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T10:00:00+05:30,100.05,100.60,99.60,100.10,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T10:00:00+05:30,100.05,100.60,99.60,100.10,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T10:15:00+05:30,100.10,100.65,99.65,100.15,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T10:15:00+05:30,100.10,100.65,99.65,100.15,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T10:15:00+05:30,100.10,100.65,99.65,100.15,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T10:30:00+05:30,100.15,100.70,99.70,100.20,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T10:30:00+05:30,100.15,100.70,99.70,100.20,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T10:30:00+05:30,100.15,100.70,99.70,100.20,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T10:45:00+05:30,100.20,100.75,99.75,100.25,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T10:45:00+05:30,100.20,100.75,99.75,100.25,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T10:45:00+05:30,100.20,100.75,99.75,100.25,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T11:00:00+05:30,100.25,100.80,99.80,100.30,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T11:00:00+05:30,100.25,100.80,99.80,100.30,1000,SYNTHETIC,15,unadjusted,5
DEMO-WIN,DEMO-WIN,2026-09-14T11:00:00+05:30,100.25,100.80,99.80,100.30,10000,SYNTHETIC,15,unadjusted,5
DEMO-LOSS,DEMO-LOSS,2026-09-14T11:15:00+05:30,100.30,100.85,99.85,100.35,10000,SYNTHETIC,15,unadjusted,5
DEMO-SKIP,DEMO-SKIP,2026-09-14T11:15:00+05:30,100.30,100.85,99.85,100.35,1000,SYNTHETIC,15,unadjusted,5
